StudentID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
type	A	A	A	A	A	A	A	A	A	A	B	B	B	B	B	B	B	B	B	B
Sub1	5.69	2.75	2.97	2.92	2.41	2.71	2.73	2.79	2.91	2.63	7.64	2.60	2.72	4.65	2.66	3.35	7.77	2.41	2.71	4.72
Sub2	5.89	4.75	4.09	4.82	4.33	4.55	4.45	4.37	4.43	5.28	5.95	4.04	4.82	5.77	4.41	5.19	5.44	4.75	5.13	5.38
Sub3	1.89	5.67 	3.75 	5.50 	2.42 	2.50 	1.08 	8.33 	8.08 	7.92 	7.33	6.75 	8.08 	1.00 	7.08 	5.83 	6.57	1.75 	3.67 	6.75 
Sub4	8.02	6.64	7.23	6.38	7.59	4.53	7.75	4.05	4.24	7.76	8.71	8.96	7.99	8.54	3.42 	7.99	8.94	6.39	7.67	8.19
Sub5	6.19	4.02	4.13	1.17 	4.25	4.06	4.03	4.17	4.06	4.54	6.49	3.92	4.18	6.05	3.95	5.56	6.92	4.29	4.14	5.17
Sub6	2.62	3.16	3.07	3.17	3.14	3.12	3.11	3.24	3.18	2.94	3.31	3.06	2.99	7.82	3.04	3.34	3.21	3.12	3.07	4.61
Sub7	5.50	4.24	3.73	3.78	3.84	3.96	4.35	3.58 	4.16	4.86	6.58	4.63	4.74	5.69	5.12	4.56	6.35	4.25	4.37	5.36
Sub8	2.64	3.61	4.42	4.93	5.60	3.97	4.22	4.78	4.39	3.62	3.11	4.94	6.50 	3.41	4.10	3.65	2.85	3.55	4.40	3.37
Sub9	3.02	3.16	3.19	3.23	3.23	3.32	3.18	3.35	3.22	2.97	2.76	3.05	3.05	2.83	3.10	3.01	2.87	3.24	3.14	4.11
Sub10	7.93	4.82	6.37	6.81	6.93	6.49	7.17	4.07	4.61	8.87	7.88	8.57	8.25	7.69	6.50 	7.47	7.72	5.31	5.72	7.25 
Sub11	3.72	6.12	5.56	5.26	6.01	5.12	5.45	6.17	6.57	5.12	4.02	4.73	5.06	4.07	5.34	5.12	3.79	5.14	5.01	4.42
Sub12	4.57	2.91	2.88	2.99	3.11	3.06	2.89	3.08	3.07	2.77	2.57	2.83	2.81	2.64	2.83	2.82	2.66	2.98	2.87	2.97
Sub13	5.73	4.42	4.38	4.63	4.39	4.54	4.74	4.41	4.49	6.28	7.35	4.21	4.94	5.71	4.63	4.40	5.49	4.75	4.49	6.09
Sub14	1.95	2.15	2.15	2.19	2.21	2.23	2.17	2.63	2.22	1.99	2.05	2.12	2.16	1.85	2.07	2.08	1.97	2.14	2.09	1.91
Sub15	6.29	2.88	4.61	4.08	4.15	3.16	5.01	3.91	3.36	4.99	6.47	5.11	4.60	5.51	5.11	4.59	6.66	3.48	4.36	5.82
Sub16	5.74	2.68	2.74	2.69	2.57	2.58	3.17	2.54	2.75	2.99	5.12	2.52	3.35	5.32	2.96	4.37	5.71	2.35	2.64	4.62
Sub17	3.21	2.55	2.67	2.75	2.73	2.71	2.57	2.54	2.66	2.67	3.01	2.71	2.68	8.63	2.68	2.73	4.09	2.72	2.62	2.76
Sub18	6.88	4.69	5.08	5.00	5.97	3.64	6.41	3.75	3.81	6.02	7.25	6.80	5.72	6.98	7.36	6.32	7.51	4.16	5.78	6.41
Sub19	5.27	3.72	3.60	2.99	3.33	2.99	3.44	3.20	3.07	3.79	5.52	3.37	3.73	5.23	4.09	4.54	6.42	3.62	3.60	4.62
Sub20	8.31	2.33	2.36	2.55	2.09	2.49	4.68	2.27	2.30	3.23	8.93	3.26	5.28	7.40	2.62	7.84	7.57	2.06	3.27	7.94
Sub21	2.18	1.85	1.89	1.92	1.94	1.94	1.89	1.95	1.91	1.78	1.84	1.89	1.81	1.75	1.83	1.87	1.98	1.92	1.83	1.72
Sub22	5.78	3.43	3.30	3.18	3.35	2.62	3.57	3.05	3.13	3.82	5.92	2.94	3.51	5.73	3.62	3.89	5.57	3.27	3.83	4.88
Sub23	7.42 	5.35	8.45	6.45	7.25	5.32	8.49	4.72	4.65	2.17 	7.42 	2.25 	6.58 	7.00 	3.83 	5.75 	6.08 	6.26	7.07	7.50 
Sub24	8.65	3.54	7.21	3.79	7.22	3.91	7.69	3.75	3.80	6.86	4.58 	8.51	7.95	8.90	1.92 	3.92 	7.58 	3.77	4.23	8.49
Sub25	3.17 	6.61	8.98	8.49	8.88	7.35	3.08 	3.62	5.76	2.83 	1.83 	7.58 	6.67 	8.33 	5.83 	4.67 	7.42 	7.21	5.50 	7.00 
Sub26	6.67	4.65	4.27	5.98	5.59	3.37	6.20	3.54	3.29	6.74	6.48	6.30	5.93	8.22	6.90	5.89	7.34	6.41	6.35	6.79
Sub27	3.83 	3.70	7.25	4.64	8.41	4.16	6.25 	3.83	3.17	8.38	7.85	5.43	2.50 	8.95	7.20	1.67 	8.44	3.79	5.11	2.33 
Sub28	6.80	3.40	3.79	3.69	3.70	3.46	4.75 	3.43	3.53	4.63	8.44	5.84	5.59	6.72	5.85	6.90	8.54	3.56	4.06	6.98
Sub29	2.20	2.52	2.50	3.83	2.61	2.72	2.51	3.16	2.71	2.37	2.25	2.47	2.45	2.26	2.49	2.64	2.31	2.56	2.48	2.29
Sub30	4.61	3.38	3.32	3.31	3.34	3.59	3.34	3.36	3.35	3.11	4.79	3.32	3.32	3.86	3.20	3.30	5.55	3.39	3.54	3.83
